scan_name,proposed_scan_group,note
as requested the ups my choice delivery change was completed,,
delivery may be delayed due to an incomplete address we are working to update the address,,
arrived at facility,,
the suite number is either missing or incorrect this may delay delivery we re attempting to update the address,,
documentation for personal belongings is missing and is required from the receiver,,
a hazardous materials irregularity occurred with this package we ll contact the sender with additional information,,
the sender requested that we hold this package,,
we require a phone number for the delivery address,,
the package has been redirected and forwarded to the delivery center,,
the receiving business was closed at the time of the second delivery attempt a final attempt will be made,,
your package has been delayed by customs or other government agency,,
the receiving business was closed and delivery has been rescheduled for the next business day,,
we were unable to dispatch the trailer on time this may cause a delay,,
the receiver has picked up their package,,
package must be picked up within 5 business days,,
we ve attempted to contact the receiver regarding pickup arrangements,,
package transferred to post office,,
we re attempting to verify the package location,,
your package was damaged in transit we will notify the sender with details,,
we will contact the sender,,
the receiver refused the delivery,,
the receiver has been requested to provide warehouse entry details necessary for clearance,,
export documentation is incomplete or missing we are working to obtain this information,,
commercial inside release,,
the shipment is in transit for final delivery delivery is scheduled in approximately 1 2 days,,
we ve contacted the sender,,
we are awaiting payment authorization from the receiver,,
export license documentation is missing and is required for clearance we are working to obtain this information,,
due to commodity or weight your package is being held to verify value,,
the sender requested that we return this package,,
the package has been damaged and the sender will be notified,,
your package was cleared after the scheduled transport departure we will reschedule for the next available departure,,
additional documentation is required for clearance we re working to obtain this information,,
your package is awaiting release from the clearing agency for formal entry at the import location,,
we are awaiting return to sender authorization for the package,,
receiver not available ups access point service canceled will make 2nd delivery attempt at the receiver s address,,
the package remains at the ups access point location and is reaching the maximum days allowed to be held,,
as per the receiver s request the package will be delivered to the selected ups access point,,
your package may be delayed due to a required document inspection by the clearing agency,,
the package was refused by the receiver and will be returned to the sender,,
the receiver is not listed in the building directory we are attempting to update this information,,
as requested by the sender the package is being held for pickup at a ups location,,
your package is being processed for submission to the fda or department of agriculture,,
as requested by the receiver we ll hold the package and contact them for instruction before submitting for clearance,,
returned to shipper,Returned to sender,
we ve received a request from the receiver to hold the package for pickup at a ups location,,
the driver was unable to collect funds on the first delivery attempt a second attempt will be made,,
unable to deliver to ups access point will reattempt delivery to ups access point the next business day,,
a damage has been reported and we will notify the sender,,
some additional transit time is required since the receiver is located in a remote area,,
the address is incomplete this may delay delivery we re attempting to update the address,,
import c o d icod charges have been paid,,
we will return the package to the sender,,
power of attorney documentation is missing and is required for clearance we re working to obtain this information,,
we ve begun an investigation to locate the package,,
the receiver requested this package to be held for pickup at the ups facility,,
signature obtained,,
the receiving business was closed at the time of the final delivery attempt,,
severe weather conditions have delayed delivery,,
the apartment number is either missing or incorrect this may delay delivery we re attempting to update the address,,
per the receiver s request the package is being held for pickup pickup must be made within 5 business days,,
delivery will be delayed by one business day,,
we were unable to load the package on the plane as scheduled,,
we ve contacted the receiver,,
the delivery address has been updated and your package is on its way,,
we currently have the package the receiver requested clearance by a non ups broker,,
due to operating conditions your delivery may be delayed,,
the receiver has moved we re attempting to obtain a new delivery address for this receiver,,
the receiver does not want the product and refused the delivery,,
as requested by the receiver the delivery date has been rescheduled,,
return service shipping label was left with the shipment s receiver,,
the receiver was not available at the time of the second delivery attempt a final attempt will be made,,
your package has been delayed due to a government regulatory agency hold,,
we ll contact the sender or receiver about this delivery,,
the package is being held for a future delivery date we ll attempt to deliver on the date requested,,
documentation required for import is incomplete or missing we are working to obtain this information,,
our driver requires security access for this delivery we are attempting to obtain the access information,,
the street name is incorrect this may delay delivery we re attempting to update the address,,
the package was transferred to a local agent and rescheduled for delivery,,
additional documentation is required on the merchandise description,,
held awaiting correct address follow up actions underway,,
the receiver requested an alternate delivery address the request is in progress,,
due to global health events beyond our control your package is being held for delivery at a later date,,
we ve missed the scheduled transfer time this may cause a delay,,
your delivery has been rescheduled for the next business day,,
brokerage released the package it will be processed through a clearing agency before final release to ups,,
the receiver was not available at the time of the final delivery attempt,,
the address was corrected,,
we ve rescheduled this delivery,,
as requested by the receiver we have updated the address,,
the delivery information was updated in error we ve corrected the mistake,,
the street number is incorrect this may delay delivery we re attempting to update the address,,
an emergency situation or severe weather condition has delayed delivery,,
directions to the address are required to complete delivery we are attempting to update this information,,
due to operating conditions your package may be delayed,,
delivery to a ups access point location is pending,,
delivery has been rescheduled to the next business day due to holiday closures,,
the package was not ready for pickup at the time of the final attempt label,,
the package was not ready for pickup at the time of the final attempt,,
drop off,,
your package was released by the clearing agency,,
departed from facility,,
the company or receiver name is incorrect this will delay delivery we re attempting to update this information,,
the package will be returned to the sender,,
customer was not available when ups attempted delivery will deliver to a nearby ups access point for customer pick up,,
your package will be delivered to an alternate address,,
import c o d charges are due for this package select pay now,,
out for delivery,,
in transit,,
delivered to ups access point,,
package is delayed in transit delivery will be rescheduled check back or signup for ups my choice to receive updates,,
delivery instructions have been provided by the receiver,,
package has been received from ups access point location ups will process as necessary,,
we have returned the package to the sender using the package return label,,
scheduled for pickup today,,
pickup is scheduled for the next business day,,
package was driver released,,
void pickup,,
shipper created a label.*has not received the package yet,,
loaded on delivery vehicle,,
a missing commercial invoice is causing a delay,,
billing information received,,
after the delivery was made the sender reported the package was damaged,,
uncontrollable events have delayed delivery we are adjusting delivery plans as quickly as possible please check back on the next business day for updates,,
the contents of your package are subject to export restrictions and may cause a delivery delay,,
this package is being held for a future delivery date,,
a natural disaster has delayed delivery we are ready to deliver as soon as conditions allow,,
a late ups trailer arrival has delayed delivery by one business day,,
warehouse scan,,
out for delivery today,,
a valid id tax personal deferment required for clearance is missing we re working to obtain this information,,
delivery will be rescheduled,,
your package has been delayed due to events beyond our control we re adjusting delivery plans as quickly as possible,,
departure scan,,
arrival scan,,
your package is awaiting release from the clearing agency,,
your package is in transit we re updating plans to schedule your delivery,,
destination scan,,
package has been received from ups access point ups will process as necessary,,
package reported picked up,,
pickup scan,,
import scan,,
documents or data needed for export processing are missing or incomplete we are working to obtain this information,,
importer power of attorney documentation is required for clearance we re working to obtain this information,,
export scan,,
your package was released by the customs agency,,
processing at ups facility,,
the package is at the clearing agency awaiting final release,,
the receiving business was closed at the time of the first delivery attempt a second attempt will be made,,
the ups access point location has prepared the package for return to ups or pickup by ups,,
your package is being held for payment of duty and tax,,
the delivery change was completed,,
origin scan,,
the service area is inaccessible because of a special event being held a delay may result,,
the delivery area is inaccessible due to a special event we re adjusting plans as quickly as possible,,
the delivery location is vacant,,
receiver s location is vacant,,
the scheduled flight was canceled due to circumstances beyond ups control,,
late airplane,,
cancelled departure,,
a non ups labor action has interrupted general transit or flight movement,,
a late flight has caused a delay we re adjusting plans and working to deliver your package as quickly as possible,,
a late flight has caused a delay we will update the delivery date as soon as possible,,
a flight delay occurred because of aircraft mechanical reasons,,
a flight cancelation has delayed delivery we re adjusting plans to deliver your package as quickly as possible,,
the receiver has moved ups attempting to locate receiver to complete delivery no delivery was made,,
the receiver has moved we re attempting to obtain a new delivery address,,
the package was damaged in transit we will notify the sender with details,,
the package was damaged in transit ups will notify the sender with the details,,
the package was damaged in transit ups will attempt to notify the sender with the details,,
package damaged in transit,,
all merchandise is being delivered ups will notify the sender with details of the damage,,
redirected package will be sorted to the destination site,,
our driver requires security access for this delivery we are attempting to obtain the access information label,,
driver needs security access which must be obtained from resident,,
the receiver s location was closed on the 2nd delivery attempt a 3rd delivery attempt will be made,,
the receiver was not available at the time of the second delivery attempt a final attempt will be made label,,
the customer was not available on the 2nd attempt a 3rd attempt will be made,,
ups will contact the sender with details,,
ups will contact the sender and,,
deliver to another address,,
this delivery address is in a remote area where deliveries are not made daily,,
the address is in a remote area and deliveries are not made daily,,
business closed for the weekend middle east weekend delivery delay due to different working practices,,
package will be delivered next business day,,
package is at destination distribution location scheduled delivery next business day,,
package not released through clearing agency system document inspection required,,
non customs government agency hold,,
a government agency has requested a hold for censorship review,,
a government agency delayed the package during the aviation security screening,,
government hold placed on shipment,,
fish and wildlife agency hold,,
a required regulatory inspection has delayed delivery we re working to deliver your package as quickly as possible,,
inspection requested by customs or ups,,
pkg delay add l security check by gov t or other agency beyond ups control,,
the receiver is on vacation delivery will be attempted when the receiver returns,,
the receiver is on vacation,,
delivery rescheduled due to the holiday,,
there is an inadequate description of the merchandise more documentation required,,
the shipment is being held commodity description information must be validated by the sender,,
shipment is held to verify commodity description with the customer for correct classification,,
additional information is required your package is pending release from a government agency other than customs,,
the receiver was not available at the time of the final delivery attempt label,,
the receiver was closed on the 3rd delivery attempt,,
the customer was not available on 3rd attempt,,
invoice and receiver federal tax id required for submission to u s customs,,
a valid tax identification number or deferment number is required for clearance,,
a valid tax id or deferment number is missing and is required for clearance we are working to obtain this information,,
receiver s customs broker has been assigned the shipment is now released to move in transit,,
receiver assigned clearance to non ups broker shipment is remaining in ups control,,
as requested the package is moving in bond to a non ups off site broker for clearance,,
the receiver stated the order was too expensive and refused this delivery,,
the receiver stated the order was shipped too late and refused this delivery,,
the receiver refused the package domestic returned to sender international sender is contacted,,
the receiver has canceled the product order and refused delivery label,,
the receiver had no invoice on file and refused this delivery,,
the receiver does not accept c o d s and refused this delivery,,
the receiver did not want the order and refused this delivery,,
the receiver determined this product order is too expensive and refused the delivery,,
the receiver determined this is a duplicate product order and has refused the delivery,,
the receiver determined this product order is late and has refused the delivery,,
the receiver canceled the order and refused this delivery,,
the post office attempted to deliver the ups surepost package but the receiver refused delivery,,
receiver stated they did not order and refused this delivery,,
receiver has refused the delivery of the package domestic returned to sender international sender is contacted,,
after further review your package may not have arrived on schedule visit ups com,,
arrived late at destination city delivery is rescheduled,,
your shipment is scheduled to arrive today after the delivery commitment time,,
we re unable to deliver your package,,
the company or receiver name is incorrect this will delay delivery we re attempting to update this information label,,
a correct company or receiver name is needed for delivery ups is attempting to obtain this information,,
the receiver is not listed on the building directory ups is attempting to obtain the information and complete delivery,,
the sender requested this package be held for pickup at a ups facility,,
the receiver arranged to pick up this package at a ups facility,,
the receiver arranged to pick up the package at a ups facility,,
the receiver arranged for same day will call,,
the receiver arranged for same day pickup at a ups facility,,
the receiver agreed to pick up the package this evening,,
customer has confirmed and will pick up packages this evening,,
as requested the receiver will pickup at a ups facility at their convenience this must be within 5 business days,,
as requested by the customer the receiver will pickup at a ups facility within 5 business days,,
the receiver requested the package be delivered to an alternate address,,
the receiver requested a temporary change to the delivery address,,
receiver requested temporary change of address,,
shipment released too late for scheduled aircraft or truck departure,,
delivery to ups retail location pending,,
delivery to ups access point location is pending,,
return to shipper pending,,
return to sender pending,,
packages are ready for ups pickup and will be returned due to aging,,
address information is missing the package was returned to the sender,,
your package has been delayed by a clearance agency a hold was placed on the airplane,,
your package has been delayed by a clearance agency work stoppage,,
we ve misrouted the package this may cause a delay,,
we ve incorrectly sorted this package which may cause a delay,,
we ve incorrectly sorted the package at our facility this may cause at least one business day delay,,
missorted to an incorrect location,Carrier misrouted the shipment - Corrective action underway,
warehouse entry clearance details necessary for customs clearance have been requested from the receiver,,
transportation accident occurred,,
a transportation accident has delayed delivery,,
incomplete or missing documentation must be obtained for clearance ups is attempting to obtain this information,,
additional import documentation is required for clearance,,
additional clearing agency information or documentation is required for clearance,,
the shipper s export declaration document is missing and is required for clearance,,
the commercial invoice is missing and is required for export,,
duties or taxes are due on this package,,
ups is awaiting payment authorization from the receiver,,
shipment on hold awaiting payment of duty amp tax,,
import c o d icod charges are due for this shipment,,
the movement of the package will resume as soon as the weather conditions allow,,
recent weather has caused delivery delays recovery efforts are under way to deliver your package as soon as possible,,
network disruption due to prior weather conditions check ups com for further updates,,
package held ups will contact customer for further instructions,,
the package is in storage,,
the address has been corrected the delivery has been rescheduled,,
your package is delayed at export and is awaiting release from customs,,
your package is awaiting release from the clearing agency for formal entry at the export location,,
your package is awaiting clearance related to the department of alcohol tobacco firearms requirements,,
your package is at the clearing agency awaiting further release,,
your package is at the clearing agency awaiting final release,,
this shipment is warehoused until it is released by clearing agency,,
the package is awaiting clearing agency review,,
shipment submitted to clearing agency awaiting final release,,
shipment pending release from clearance agency,,
awaiting release from clearance,,
customer was not available when ups attempted delivery will deliver to a nearby ups access point for customer pickup,,
customer was not available on 1st attempt delivery will be made to a nearby retail location for customer to pickup,,
customer was not available on 1st attempt delivery will be made to a nearby retail location for customer to pick up,,
customer not available when ups attempted delivery will deliver to a nearby ups access point for customer pickup,,
arrangements have been confirmed with customer,,
we received a request to change the delivery of this package the request is in progress,,
we received a request to change delivery this request will be processed once the package returns to our facility,,
the delivery change request for this package was modified,,
the delivery change request for this package has been completed,,
my choice delivery change option has been requested,,
my choice delivery change option has been completed,,
delivery change request received processing will occur when package returns to ups location,,
as requested the delivery change was completed,,
a ups my choice delivery change was requested for this package,,
a second delivery change request was submitted for this package,,
a delivery change request for this package will be processed,,
a delivery change for this package is in progress,,
we were unable to obtain additional address information,,
ups has been unable to resolve the incorrect address,,
the street name is incorrect this may delay delivery we re attempting to update the address label,,
the receiver s address is incomplete ups is attempting to obtain the entire address and complete the delivery,,
multiple errors exist in the address label ups is attempting to determine the correct information to complete delivery,,
incomplete address information may delay delivery we are attempting to update this information,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,
the apartment number is missing or is incorrect ups is attempting to obtain this information,,
the apartment number is either missing or incorrect this may delay delivery we re attempting to update the address label,,
a correct suite number is needed for delivery ups is attempting to obtain this information,,
a correct city or town is needed for delivery ups is attempting to obtain this information,,
the street prefix is incorrect ups is attempting to determine the correct prefix to complete the delivery,,
the street prefix is either missing or incorrect this may delay delivery we re attempting to update the address,,
a correct street number is needed for delivery ups is attempting to obtain this information,,
a correct street name is needed for delivery ups is attempting to obtain this information,,
the state shown on the label is incorrect ups is attempting to determine the correct state to complete the delivery,,
the borough or county shown in the address is incorrect and may delay delivery we re attempting to update the address,,
county is incorrect ups is attempting to determine the correct borough,,
the postal code for the receiver is incorrect we are attempting to obtain correct postal code to complete delivery,,
postal code listed for the receiver is incorrect ups is attempting to obtain correct postal code and complete delivery,,
the receiving business was closed at the time of the first delivery attempt a second attempt will be made label,,
the receiver s location was closed on the 1st delivery attempt a 2nd delivery attempt will be made,,
the receiver was not available for delivery we ll make a second attempt the next business day label,,
the receiver was not available for delivery we ll make a second attempt the next business day,,
the receiver was not available at the time of the first delivery attempt a second attempt will be made label,,
the receiver was not available at the time of the first delivery attempt a second attempt will be made,,
the customer was not available on the 1st attempt a 2nd attempt will be made,,
transferred to a local agent for delivery the delivery will be rescheduled,,
the package is assigned to a sub agent for delivery delivery is rescheduled,,
rescheduled delivery,,
directions to receiver s location are found the delivery has been rescheduled,,
delivery rescheduled,,
the receiver requested that ups delay this delivery,,
the receiver requested a hold for a future delivery date ups will attempt delivery on date requested,,
the receiver has requested that we hold this package for a future delivery date,,
the package is being held for future delivery ups will attempt delivery on the date requested,,
your shipment is ready for pickup at a ups access point,,
your shipment is ready for pickup at a retail location,,
delivered to ups retail location,,
delivered to ups access point awaiting customer pickup,,
delivered to ups access point location and awaiting customer pickup,,
registered with clearing agency shipment release pending clearing agency review,,
your package is being processed at the clearance agency,,
aviation security screening delay ups,,
ups delayed the package during the aviation security screening,,
your package encountered a delay at the ups delivery facility we expect delivery to be postponed by one business day,,
your package encountered a delay we expect your delivery will be postponed by one business day,,
we re working to resolve technical issues temporarily preventing us from transmitting information to the clearing agency,,
ups is processing shipment for future submission to the food,,
the package was subject to an x ray inspection prior to delivery a delay may result,,
the clearing agency is closed we will submit the package for clearance once their office reopens,,
shipment transferred to local govt agency and is temporarily out of ups control,,
hold pending clearance of tsca toxic substance control act,,
clearing agency office is closed temporarily unable to clear shipment will submit shipment when customs office reopens,,
clearing agency computer system breakdown temporarily unable to transmit shipment info,,
we ve made another attempt to deliver your package,,
the receiver was not available at the time of the delivery attempt,,
scheduled for delivery today,,
we ll attempt to redeliver today,,
the business is closed for the weekend there s a middle east weekend delivery delay due to different work practices,,
receiver not available contact person at destination address for details,,
delivery reattempted,,
the package was missed at the ups facility ups will deliver on the next business day,,
the package was left in a vehicle,,
the package was missed at the destination location,,
processing for delivery,,
a ups error has delayed delivery we are adjusting plans as quickly as possible,,
a non ups labor dispute has delayed delivery we re working to deliver your package as quickly as possible,,
due to special operating conditions delivery of your package may be delayed,,
civil unrest has delayed delivery we are ready to deliver as soon as conditions allow,,
a ups facility outage has delayed delivery we re adjusting plans to deliver your package as quickly as possible,,
a ups error has delayed delivery we re adjusting plans and working to deliver your package as quickly as possible,,
a ups error has delayed delivery we re working to deliver your package as quickly as possible,,
a ups error has delayed delivery you should expect at least one business day delay,,
an exception in the sorting process has occurred ups has taken corrective action,,
driver error occurred,,
due to local operation disruption packages not unloaded from trailer expect a one day business day delay,,
due to local operation disruption packages not unloaded from trailer expect a one day business delay,,
service disruption occurred,,
the airline off loaded packages,,
the package is delayed at the origin hub,,
the package was left in a ups facility,,
emergency conditions beyond ups control,,
your package has been delayed due to an agricultural hold,,
the scheduled connection was missed,,
we left the package in our facility this may cause a delay we will deliver as quickly as possible,,
we ve held the package at this facility this may cause a delay,,
we ve left the package in one of our containers this may cause a delay,,
the package is delayed due to circumstances beyond ups control,,
we ve left the package in one of our vehicles this may cause at least one business day delay,,
we ve left the package in our facility this may cause at least one business day delay,,
your package encountered a delay a revised delivery date will be available once it reaches the next ups facility,,
your package missed the processing deadline you should expect at least one business day delay,,
your package has cleared customs and is on the way,,
your package is currently at the ups access point and is scheduled to be tendered to ups,,
your delivery has been delayed by one business day,,
ups initiated contact with receiver or importer for clearance information once received ups will submit for clearance,,
your package is pending release from a government agency once they release it your package will be on its way,,
ups has received the information needed to submit your package for clearance,,
ups initiated contact with the sender to obtain clearance information once received ups will submit for clearance,,
import charges are due for this package select pay now where available or pay at delivery,,
documents or info requested from the customer were received and are being processed for clearance,,
your package has cleared customs and will be placed on the next available departure,,
your package has been delayed due to .* gateway hold,,
sender tendered the shipment to ups after the latest pickup time for the requested service a day delay is likely,,
shipper tendered the shipment to ups after the latest pickup time for the requested service a day delay is likely,,
we tried to pickup the package but it was not ready for pickup a second attempt will be made the next business day,,
the receiver has picked up the package,,
the package is being held for pickup as the receiver requested pickup must be made within 5 business days,,
we tried to deliver to the business but it was closed a second attempt will be made the next business day,,
your package has been released by the government agency,,
ups is preparing your package for clearance,,
your package is prepared for clearance,,
your package is pending release from a non ups broker contact the non ups broker for additional information,,
sorry your package was delayed we are adjusting delivery plans as quickly as possible,,
in the process of returning this package to the sender,,
the package has been rescheduled for a future delivery date,,
we tried to deliver the package but were unable to receive payment a second attempt will be made the next business day,,
this package has experienced a sortation delay the package has been rerouted to the correct destination,,
voided information received,,
we received a request from the receiver to reschedule the delivery,,
corrected.*package is on its way to the updated address,,
we are experiencing transit delays we will deliver your package as soon as possible,,
the package will be forwarded to a ups facility in the destination city,,
a claim has been issued to the sender for your package,,
we missed you again a final attempt will be made the next business day,,
the delivery date has been rescheduled as the receiver requested,,
we tried to deliver to the business again but it was closed a final attempt will be made the next business day,,
we are trying to get the security access our driver needs for this delivery,,
the address has been updated as the receiver requested,,
tried to deliver.*package.*unable to collect funds,,
awaiting customs authorization before returning this package to the sender,,
the package is undeliverable and is in the process of being disposed of according to the local guidelines,,
the package will be held until all packages associated with this shipment have arrived,,
the receiver refused the package appeared to be damaged ups will notify the sender with the details,,
an investigation has been opened for your lost package,,
corrected the street number and the package is on it s way to the updated address,,
scheduled an inspection of the damaged contents and packaging,,
sent the package to ups lost and found,,
shipment delivery to be re scheduled,,
we re returning this package to the sender as requested by the receiver,,
the driver was not able to receive payment a final attempt will be made the next business day,,
we ve updated the delivery address as requested by the receiver,,
your package is with a non ups broker contact the non ups broker for additional information,,
the receiver has moved we will deliver the package to the receiver s new address,,
good news we ve received export clearance information for your package this hold has been resolved,,
all merchandise is missing and the empty carton was discarded,,
we were unable to obtain a correct address for the receiver package will be returned to the sender,,
all merchandise missing empty carton was discarded ups will notify the sender with details of the damage,,
we tried to deliver the package but need an adult signature a second attempt will be made the next business day,,
we ll contact the sender or receiver because sender/importer validation is required by customs before release,,
the return label was discarded,,
/,,
the receiver reported the package was damaged we will notify the sender with details,,
the package has been damaged and the receiver has the merchandise we will notify the sender,,
merchandise is missing ups will notify the sender with additional details,,
your delivery change to a ups access point is in progress check back later for updates,,
all merchandise was not recoverable and was discarded ups will notify the sender with details of the damage,,
due to weather your package is delayed by one business day,,
your package exceeds the maximum weight we can accept,,
a delivery change has been completed and your shipment will be forwarded to a ups access point,,
a delay has occurred due to late processing by ups brokerage we are adjusting delivery plans as quickly as possible,,
your delivery has been rescheduled your package will be held until the delivery date requested,,
we tried to deliver the package again but need an adult signature a final attempt will be made the next business day,,
the address information was not obtained and the shipment will be returned to the sender,,
your package has been transferred to the post office and will be delivered in approximately 1 2 days,,
we tried to pick up the package again but it was not ready a final attempt will be made the next business day,,
a non ups labor dispute has delayed delivery by one business day,,
address information is incomplete the package was returned to the sender,,
all packages in the shipment have arrived and are on the way,,
your investigation has been closed with a proof of delivery,,
we will deliver the package to the original receiver s address as the receiver requested,,
the delivery address was incorrect but the issue has been resolved your delivery has been rescheduled,,
the package cannot be taken to the intended ups location please select change my delivery to make alternate arrangements,,
the delivery address is incomplete your package will be returned to the sender,,
there is a delivery change in progress to deliver the package to the original receiver s address,,
the receiver s request to deliver the package to a ups access point is pending,,
the package was given to ups after the cutoff time and the delivery date may be impacted,,
the customer requested ups contact them for instruction before submitting for customs clearance,,
due to weather your package is delayed check back later for delivery updates,,
the c o d amount is missing from the label,,
the investigation has been closed we were unable to contact the receiver,,
your package will be returned to the sender due to a missing shipping label,,
the delivery was refused by the receiver the package will be sent back to the shipper,,
significant weather events.*are impacting the ups network,,
your package will be delivered on the next available delivery day in your area,,
a late flight has caused a delay,,
the address label is illegible this may delay delivery we re attempting to update the address,,
per the sender s request this package will be held for pickup,,
your package is on the way,,
we have your package,,
air traffic control resulted in a delay we will update the delivery date as soon as possible,,
the company or receiver name is incorrect your delivery will be rescheduled once this issue is resolved,,
package was returned to the sender,,
ups has returned your package to the sender,,
your shipment s duties and taxes are awaiting payment once received and validated it will resume the transit journey,,
ups access point possession,,
requested delivery change cannot be completed the package will be delivered as previously scheduled,,
missing shipment data is causing a delay we are awaiting electronic data upload from the shipper,,
your package was reported as damaged it has been left with the receiver and ups will share further details with the sender,,
your package is being held until the requested delivery date,,
your package exceeds the maximum dimensions we can accept,,
your package contains a commodity that cannot be shipped internationally,,
your shipment may arrive today after the delivery commitment time due to severe weather,,
ups was unable to deliver the package the merchandise will be disposed of or surrendered to customs,,
the company or receiver name is incorrect please resolve this using the change my delivery button to resume the transit journey,,
returned to sender,,
the sender requested that we return the package,,
the receiver has acknowledged receipt of this package,,
package resubmitted to clearing agency for clearance,,
the damage inspection request has been changed,,
generally prohibited item identified in package contents that does not comply with ups policies and procedures,,
saturday guaranteed service is not available in the destination zip code,,
we re not able to deliver this package to the selected ups access point we re contacting the receiver for an alternate location,,
the package has been abandoned,,
we have updated the delivery information for your package,,
merchandise missing balance being returned ups will notify the sender with details of the damage,,
merchandise left with sender ups will notify the sender with details of the damage,,
the sender requested a delivery change for this package,,
your package is at the ups distribution facility and is scheduled for delivery on the next business day,,
your delivery has been rescheduled due to the holiday,,
damage investigation currently in progress,,
we missed you we are taking your package to a local ups access point next business day for customer pickup,,
the address was changed as the receiver requested,,
the damage inspection request has been reissued,,
the package is not claim eligible because the liability period has passed,,
your package may be delayed due to our trailer running behind schedule,,
the package is being processed for clearance,,
the street type shown in the address is incorrect this may delay delivery we re attempting to update the address,,
click on get updates to receive email updates on your shipment s progress,,
damaged merchandise discarded remaining contents returned to the sender ups will notify the sender with the details,,
customer has picked up package at ups access point,,
the damaged merchandise is being held at an agent s location ups will notify the sender with details of the damage,,
we are returning the package to the sender as the receiver requested,,
your package is delayed check back later for delivery updates,,
ups cannot deliver to p o boxes we ll deliver the package to the updated address,,
due to weather your package is delayed,,
your delivery has been rescheduled,,
your package s delivery address is incomplete please update the address using the correct my address link so we can deliver it,,
your package s delivery address is incomplete please update the address using the change my delivery button so we can deliver it,,
your package contains hazardous materials we will not transport this package by air,,
we missed you and the package is not eligible for a ups access point pickup we will try again on the next business day,,
unauthorized plant identified in package contents,,
ups is working to resolve the issue,,
undeclared hazardous material identified in package contents,,
the package contains an unauthorized tobacco commodity and we are unable to complete the delivery,,
receiver s address is a rural route a street has not been assigned ups is attempting to establish a delivery location,,
delivery attempted,,
unauthorized hazardous material identified in package contents,,
as requested by the sender the delivery change for this package was completed,,
the receiver requested ups my choice authorize shipment release,,
weather conditions have delayed delivery until the next business day,,
/ all merchandise was not recoverable and was discarded ups will notify the sender with details of the damage,,
ups will be in your area and will deliver your package a day early,,
a late ups trailer arrival has caused a delay we re adjusting plans to deliver your package as quickly as possible,,
the ups surepost package was misrouted it is currently being transferred to the correct usps office for final delivery,,
deliver to a ups access point location,,
received by the local post office,,
a rerouted flight has delayed delivery we re adjusting plans to deliver your package as quickly as possible,,
the freight shipment is delayed,,
unable to contact customer at primary number,,
there was a modification to the recovery intercept on this package,,
we re working to deliver your package as quickly as possible,,
your ups surepost package was transferred to the wrong post office it is being corrected,,
a guaranteed service refund has been voided for this package,,
ups will contact the sender or receiver with updated information regarding your ups premier package,,
liquid,,
other driver follow up,,
the receiver requested the package be rerouted to an alternate location for customer pickup,,
the street suffix is incorrect this may delay delivery we re attempting to update the address,,
the receiver refused the package that requires a package release code the package will be returned to sender,,
/ a guaranteed service refund has been voided for this package,,
shipper release,,
the company or receiver name is incorrect we re working to contact the receiver for information,,
we were unable to deliver your package it s on the way to a secure ups access point location for pick up,,
your pkg has been delayed due to missing clearance information we are attempting to obtain information from the shipper,,
the billing option selected is not valid for this package,,
we were unable to deliver your package it s on the way to a ups access point location next business day for pick up,,
the commodity value of your package exceeds the limit we allow,,
due to an operational delay your package delivery has been postponed by one business day,,
the package is not claim eligible because there is a contract or account restriction,,
ups is unable to deliver the package because the address is incomplete attempts to obtain address information were unsuccessful package is being returned to sender,,
at the receiver s request delivery has been delayed,,
the receiver has moved we re returning the package to the sender,,
unauthorized animal identified in package contents,,
the package was refused by the recipient and will be returned to the sender,,
the receiver will pick up the package within 5 business days at a ups location,,
we were not able to deliver the package after 3 attempts and will be returning the package to the sender,,
the cargo aircraft only dangerous goods package is being held due to ups aircraft capacity limitations,,
your package exceeds the maximum length we can accept,,
this package was not picked up from the requested ups facility and will be returned to the sender,,
the receiver has moved causing a delivery delay please resolve this using the correct my address link to resume the transit journey,,
the floor number is either missing or incorrect this may delay delivery we re attempting to update the address,,
the package has been sent to ups lost and found,,
signed delivery notice,,
package not available,,
we ve left the package on one of our planes this may cause a delay,,
your shipment s commercial invoice is incomplete or missing if you are the sender please submit a valid invoice or provide the needed information to resume the transit journey,,
ups printed and applied the shipping label,,
as requested by the sender the package will be delivered later than the normal delivery time for your area,,
ups my choice member s chosen ups access point preferences are not available,,
the ups access point selected as part of your delivery change request is unavailable at this time please select an alternate location for delivery,,
your package has been delayed due to a security check,,
the receiver requested this package to be held for pickup we will notify them once it is ready for pickup,,
the receiver has requested that we make an appointment for delivery,,
/ the receiver has acknowledged receipt of this package,,
a non ups labor dispute has delayed delivery until the next business day,,
previous local labor dispute has caused delays recovery efforts are under way to deliver your pkg as soon as possible,,
we missed you again we ll make a final attempt on the next business day,,
/ the information requested has been obtained and the hold has been resolved,,
this delivery was made after the ups service commitment time of 10 30 a m,,
hazardous materials labeling is missing and is required for clearance we are working to obtain this information,,
your package was returned to the import site and is awaiting clearance,,
a work stoppage at the receiver s location has prevented delivery,,
the package is either overweight or oversized we require pre authorization for delivery,,
we ve requested a modified intercept for this package,,
the address has been corrected,,
your ups premier package has incorrect address information,,
the contents of the package being returned do not match the description provided by the sender,,
ups will redeliver to same address on day after same day will call request,,
this package has been delivered and can no longer be returned to the sender,,
the package contains multiple duplicate tracking numbers,,
the address label became detached from the package the sender will be notified,,
